Ending Station ID,Starting Station ID,Duration,Duration_min,Distance,Price
0,2,1255.6363636363637,20.927272727272726,0.40760618710369956,1.75
0,4,1710.0,28.5,1.1711216811691938,1.75
0,7,857.1428571428571,14.285714285714286,1.480737033848055,1.75
0,14,1511.0204081632653,25.183673469387756,1.211309375539255,1.75
0,16,1221.578947368421,20.359649122807017,1.7815155888872967,1.75
0,17,984.0,16.4,0.9744308636058034,1.75
0,18,880.0,14.666666666666666,1.4183145789558969,1.75
0,19,1077.7777777777778,17.962962962962962,1.0249168040111507,1.75
0,20,1216.1194029850747,20.26865671641791,1.3016117136117897,1.75
0,28,966.2608695652174,16.104347826086958,0.8841092124265737,1.75
0,29,1996.578947368421,33.276315789473685,0.7687575306351214,3.5
0,32,1376.4705882352941,22.941176470588236,1.0003320460493748,1.75
0,33,617.1428571428571,10.285714285714286,1.0261292464707565,1.75
0,35,743.175965665236,12.3862660944206,0.9323356382381116,1.75
0,36,1089.2727272727273,18.154545454545456,0.5424350787158714,1.75
0,37,916.9491525423729,15.282485875706215,0.5114917196398341,1.75
0,38,600.0,10.0,0.8897758822872055,1.75
0,39,2245.2631578947367,37.421052631578945,2.043745669792927,3.5
0,40,958.7279151943463,15.978798586572438,0.741842470248163,1.75
0,44,1470.0,24.5,1.0574546124670403,1.75
0,46,850.9345794392524,14.182242990654206,1.2904618321376398,1.75
0,50,1676.0,27.933333333333334,2.3535090635804945,1.75
0,51,1084.5,18.075,0.7865699122868989,1.75
0,52,652.5,10.875,0.7980013943252886,1.75
0,53,1002.3529411764706,16.705882352941178,0.9049297726734262,1.75
0,57,1280.8695652173913,21.347826086956523,1.1179128190104404,1.75
0,60,3260.0,54.333333333333336,1.4435463098534658,3.5
1,2,813.75,13.5625,0.5101211531446115,1.75
1,4,745.7142857142857,12.428571428571429,0.8404087825768772,1.75
1,7,745.7142857142857,12.428571428571429,1.4200755693641232,1.75
1,14,756.0,12.6,1.3413647528169064,1.75
1,16,2184.705882352941,36.411764705882355,1.9290589028851453,3.5
1,17,1043.4146341463415,17.390243902439025,0.8844539326163916,1.75
1,18,6120.0,102.0,1.5125384064642184,7.0
1,19,643.8461538461538,10.73076923076923,0.89183267695669,1.75
1,20,1062.6923076923076,17.71153846153846,1.2350873147095833,1.75
1,28,624.1304347826087,10.402173913043478,0.6862609711125373,1.75
1,29,668.5714285714286,11.142857142857142,1.1092259283044026,1.75
1,32,6532.941176470588,108.88235294117646,1.0158284648764249,7.0
1,33,900.0,15.0,0.957501070229866,1.75
1,35,1012.0,16.866666666666667,1.141490372836169,1.75
1,36,1752.3076923076924,29.205128205128204,0.25585318426459497,1.75
1,37,600.8,10.013333333333334,0.8387389060088121,1.75
1,38,2820.0,47.0,0.7435150515033215,3.5
1,39,1410.0,23.5,1.749281201247029,1.75
1,40,1373.5714285714287,22.892857142857142,0.4342812299826253,1.75
1,44,532.5,8.875,0.7405382191111733,1.75
1,46,1134.7058823529412,18.91176470588235,1.1159881662474609,1.75
1,50,1128.0,18.8,2.407069799095737,1.75
1,51,498.94736842105266,8.31578947368421,0.5228573715587879,1.75
1,52,879.3103448275862,14.655172413793103,0.8788339869076967,1.75
1,53,1151.304347826087,19.18840579710145,0.8586398263556602,1.75
1,57,610.0,10.166666666666666,0.7710811420335039,1.75
3,2,1046.25,17.4375,0.760383142153159,1.75
3,4,1200.0,20.0,1.1293222419180111,1.75
3,14,1495.0,24.916666666666668,1.5550751797086944,1.75
3,16,1084.2857142857142,18.071428571428573,2.1155637079887306,1.75
3,17,941.5384615384615,15.692307692307692,1.305095752956692,1.75
3,18,1011.4285714285714,16.857142857142858,1.7674601170093147,1.75
3,19,997.5,16.625,1.341077399770003,1.75
3,20,1721.0526315789473,28.68421052631579,1.6419882139391258,1.75
3,28,880.0,14.666666666666666,1.1668174726322065,1.75
3,29,3053.846153846154,50.8974358974359,0.7392316632724363,3.5
3,32,1605.0,26.75,1.3519344473389243,1.75
3,33,772.3404255319149,12.872340425531915,0.7114551655566885,1.75
3,35,948.3333333333334,15.805555555555555,1.2524377637582433,1.75
3,36,961.4634146341464,16.024390243902438,0.7563768050657063,1.75
3,37,556.0714285714286,9.267857142857142,0.46202902698780735,1.75
3,40,1540.909090909091,25.681818181818183,0.9357744910408841,1.75
3,44,1026.6666666666667,17.11111111111111,0.9937900140998835,1.75
3,46,5916.0,98.6,1.590739131882414,7.0
3,50,1920.0,32.0,2.7054093281504805,3.5
3,51,1086.5217391304348,18.108695652173914,1.0230602038302175,1.75
3,52,902.0,15.033333333333333,1.1512552480084624,1.75
3,53,893.3333333333334,14.88888888888889,1.2461673112408773,1.75
3,57,1300.0,21.666666666666668,1.2214553553698837,1.75
5,2,1090.0,18.166666666666668,1.4178417623243484,1.75
5,4,795.0,13.25,1.135853433050938,1.75
5,7,960.0,16.0,2.4309166410646585,1.75
5,14,1357.5,22.625,2.234432378275065,1.75
5,16,1320.0,22.0,2.798587016490079,1.75
5,17,1035.0,17.25,1.8965555819192348,1.75
5,18,1700.0,28.333333333333332,2.4411875569035164,1.75
5,19,960.0,16.0,1.9041177941481915,1.75
5,20,2583.0,43.05,2.246094389569174,3.5
5,28,1182.857142857143,19.714285714285715,1.6864113742778986,1.75
5,29,1291.578947368421,21.526315789473685,1.2195009561836296,1.75
5,32,1530.0,25.5,1.9958633888479227,1.75
5,33,1630.5882352941176,27.176470588235293,0.1701293088876236,1.75
5,35,1089.6,18.16,1.935329195819988,1.75
5,36,1696.3636363636363,28.272727272727273,1.245717744591479,1.75
