,Ending Station ID,Starting Station ID,Duration,Duration_min,Distance,Price
321,5,53,1380.0,23.0,1.8614186756946987,1.75
325,5,60,870.0,14.5,1.2786425180850396,1.75
330,6,2,2203.6363636363635,36.72727272727273,1.5312287654529344,3.5
332,6,4,1163.2941176470588,19.388235294117646,2.38470825717108,1.75
334,6,7,622.2857142857143,10.371428571428572,0.5053282280467976,1.75
341,6,14,741.9512195121952,12.365853658536585,0.9599579106401297,1.75
343,6,16,535.2380952380952,8.920634920634921,0.9509548054659752,1.75
344,6,17,666.3414634146342,11.105691056910569,1.0338903516817577,1.75
345,6,18,1387.7777777777778,23.12962962962963,0.7393436696125216,1.75
346,6,19,2088.0,34.8,1.0630025157499514,3.5
347,6,20,499.971181556196,8.332853025936599,0.6854134086768412,1.75
355,6,28,628.2352941176471,10.470588235294118,1.3140137026431256,1.75
356,6,29,1650.0,27.5,2.382855797579867,1.75
359,6,32,774.1935483870968,12.903225806451612,0.9385521501392141,1.75
360,6,33,11860.0,197.66666666666666,2.869466303128648,12.25
362,6,35,714.0983606557377,11.901639344262295,1.3291561073447609,1.75
363,6,36,3641.6666666666665,60.69444444444444,1.7142883011051433,5.25
364,6,37,3404.0,56.733333333333334,2.2824913798301414,3.5
365,6,39,1248.5714285714287,20.80952380952381,1.6959378510221546,1.75
366,6,40,752.7777777777778,12.546296296296296,1.6826287015034467,1.75
370,6,44,2400.0,40.0,2.387105592748764,3.5
372,6,46,1033.953488372093,17.232558139534884,0.9897179526872397,1.75
376,6,50,813.8613861386139,13.564356435643564,0.666133597567158,1.75
377,6,51,817.4117647058823,13.623529411764705,1.5354417916639356,1.75
378,6,52,916.4285714285714,15.273809523809524,1.1630870941540103,1.75
379,6,53,1373.525179856115,22.892086330935253,1.055402161581553,1.75
383,6,57,1147.0588235294117,19.11764705882353,1.935042457627199,1.75
386,6,60,1140.0,19.0,2.598831953052977,1.75
440,8,2,509.25,8.4875,0.7969379871379829,1.75
442,8,4,1050.0,17.5,0.779248581836354,1.75
445,8,7,1005.0,16.75,1.7520757180580382,1.75
451,8,14,660.0,11.0,1.63696596599231,1.75
453,8,16,1272.0,21.2,2.2204025380451666,1.75
454,8,17,1200.0,20.0,1.2163257667827354,1.75
455,8,18,705.0,11.75,1.8220118362293714,1.75
456,8,19,774.5454545454545,12.909090909090908,1.2197242055275959,1.75
457,8,20,960.0,16.0,1.5670804569095829,1.75
465,8,28,890.0,14.833333333333334,1.0026301675248146,1.75
466,8,29,675.0,11.25,1.0834436091864519,1.75
468,8,33,795.0,13.25,0.6257984977347947,1.75
470,8,35,934.2857142857143,15.571428571428571,1.395185649493446,1.75
471,8,36,916.3636363636364,15.272727272727273,0.5618211879196818,1.75
472,8,37,750.0,12.5,0.8027893018555626,1.75
473,8,40,626.25,10.4375,0.6957122942020095,1.75
477,8,44,405.0,6.75,0.6451504612753345,1.75
479,8,46,1090.0,18.166666666666668,1.4312735962697392,1.75
482,8,50,780.0,13.0,2.7302377530121182,1.75
483,8,51,6617.142857142857,110.28571428571429,0.8155260896255291,7.0
484,8,52,2581.4285714285716,43.023809523809526,1.1861662233674206,3.5
485,8,53,1202.2222222222222,20.037037037037038,1.1897297230573518,1.75
489,8,57,927.0,15.45,0.9016831045740112,1.75
491,8,60,1037.142857142857,17.285714285714285,1.0314399005460866,1.75
495,9,2,594.5454545454545,9.909090909090908,1.263785987933529,1.75
497,9,4,600.0,10.0,0.5092334269467013,1.75
500,9,7,998.8235294117648,16.647058823529413,2.09544271043743,1.75
506,9,14,14676.0,244.6,2.097447740987965,15.75
508,9,16,6015.0,100.25,2.6852807954459608,7.0
509,9,17,657.9310344827586,10.96551724137931,1.569521538214059,1.75
510,9,18,17910.0,298.5,2.2638625634141216,17.5
511,9,19,840.0,14.0,1.5387785289996052,1.75
512,9,20,857.3684210526316,14.289473684210526,1.9143697711006344,1.75
